main_pack,sub_pack,stage,month,fees
Programme Management,Programme Management,LS Management Fee,1/09/2021,26666.67
Programme Management,Programme Management,LS Management Fee,1/10/2021,14323.83
Programme Management,Programme Management,LS Management Fee,1/11/2021,30171.81
Programme Management,Programme Management,LS Management Fee,1/12/2021,19222.15
Programme Management,Programme Management,LS Management Fee,1/01/2022,16461.23
Programme Management,Programme Management,LS Management Fee,1/02/2022,17844.33
Programme Management,Programme Management,LS Management Fee,1/03/2022,55947.34
Programme Management,Programme Management,LS Management Fee,1/04/2022,46842
Programme Management,Programme Management,LS Management Fee,1/05/2022,17758.33
Programme Management,Programme Management,LS Management Fee,1/06/2022,63867.91
Programme Management,Programme Management,LS Management Fee,1/07/2022,65879.71
Programme Management,Programme Management,LS Management Fee,1/08/2022,48111.02
Programme Management,Programme Management,LS Management Fee,1/09/2022,84952.67
Programme Management,Programme Management,LS Management Fee,1/10/2022,72014.5
Programme Management,Programme Management,LS Management Fee,1/11/2022,90543.5
Programme Management,Programme Management,LS Management Fee,1/12/2022,72215.5
Programme Management,Programme Management,LS Management Fee,1/01/2023,154697
Programme Management,Programme Management,LS Management Fee,1/02/2023,90596
Programme Management,Programme Management,LS Management Fee,1/03/2023,167734.7
Programme Management,Programme Management,LS Management Fee,1/04/2023,52883.5
Programme Management,Programme Management,LS Management Fee,1/05/2023,55402.5
Programme Management,Programme Management,LS Management Fee,1/06/2023,89000
Programme Management,Programme Management,LS Management Fee,1/07/2023,52231.25
Programme Management,Programme Management,LS Management Fee,1/08/2023,55000
Glenorchy Corridor Package,Glenorchy Road North Barriers '21,Construction,1/10/2022,340782.6
Glenorchy Corridor Package,Glenorchy Road North Barriers '21,Construction,1/11/2022,479960.85
Glenorchy Corridor Package,Glenorchy Road North Barriers '21,Construction,1/12/2022,20164.57
Glenorchy Corridor Package,Glenorchy Road North Barriers '21,Construction,1/01/2022,13624
Glenorchy Corridor Package,Glenorchy Road North Barriers '21,Construction,1/02/2022,9466.54
Glenorchy Corridor Package,Glenorchy Road North Barriers '22,Construction,1/11/2022,316139.8
Glenorchy Corridor Package,Glenorchy Road North Barriers '22,Construction,1/12/2022,135624.57
Glenorchy Corridor Package,Glenorchy Road North Barriers '22,Construction,1/01/2022,76961.79
Glenorchy Corridor Package,Glenorchy Road North Barriers '22,Construction,1/02/2022,138529.1
Schools To Pool,Stage 1 - Aubrey and Kelly's Flat,Construction,1/01/2023,53696.97
Schools To Pool,Stage 1 - Aubrey and Kelly's Flat,Construction,1/02/2023,82556.12
Schools To Pool,Stage 1 - Aubrey and Kelly's Flat,Construction,1/03/2023,155958.17
Schools To Pool,Stage 1 - Aubrey and Kelly's Flat,Construction,1/04/2023,219134.23
Schools To Pool,Stage 1 - Aubrey and Kelly's Flat,Construction,1/05/2023,66043.33
Schools To Pool,Stage 1 - Aubrey and Kelly's Flat,Construction,1/06/2023,33534.38
Golf Course Ballantyne IS SNP Stage 1,Golf Course Ballantyne IS SNP Stage 1,Construction,1/03/2023,43470.6
Golf Course Ballantyne IS SNP Stage 1,Golf Course Ballantyne IS SNP Stage 1,Construction,1/04/2023,230701.17
Golf Course Ballantyne IS SNP Stage 1,Golf Course Ballantyne IS SNP Stage 1,Construction,1/05/2023,146493.2
Golf Course Ballantyne IS SNP Stage 1,Golf Course Ballantyne IS SNP Stage 1,Construction,1/06/2023,40516.68
Anderson Rd Active Travel,Anderson Rd Active Travel,Construction,1/03/2023,99511.08
Anderson Rd Active Travel,Anderson Rd Active Travel,Construction,1/04/2023,154757.63
Anderson Rd Active Travel,Anderson Rd Active Travel,Construction,1/05/2023,405263.65
Anderson Rd Active Travel,Anderson Rd Active Travel,Construction,1/06/2023,174882.25
Anderson Rd Active Travel,Anderson Rd Active Travel,Construction,1/07/2023,167443.97
Anderson Rd Active Travel,Anderson Rd Active Travel,Construction,1/08/2023,101510.65
Hawthorne Red Oaks IS SNP,Hawthorne Red Oaks IS SNP,Construction,1/04/2023,202791.64
Hawthorne Red Oaks IS SNP,Hawthorne Red Oaks IS SNP,Construction,1/05/2023,569675.83
Hawthorne Red Oaks IS SNP,Hawthorne Red Oaks IS SNP,Construction,1/06/2023,472124.28
Hawthorne Red Oaks IS SNP,Hawthorne Red Oaks IS SNP,Construction,1/07/2023,110000
Hawthorne Red Oaks IS SNP,Hawthorne Red Oaks IS SNP,Construction,1/08/2023,82000
Mt Aspiring Corridor Safety Improvements,Mt Aspiring Corridor Safety Improvements,Construction,1/07/2023,54048.84
Mt Aspiring Corridor Safety Improvements,Mt Aspiring Corridor Safety Improvements,Construction,1/08/2023,462230.26
Cardrona Valley Road Barriers,Cardrona Valley Road Barriers,Construction,1/08/2023,434135.42
Wanaka Maintenance '22,Wanaka Maintenance '22,Construction - Maintenance,1/08/2023,21226.96
